"Percent through gene"	"10-ng-UHR_U001_S1_L001"	"10-ng-UHR_U002_S2_L001"	"10-ng-UHR_U003_S3_L001"	"10-ng-UHR_U004_S4_L001"	"10-ng-UHR_U005_S5_L001"	"100-ng-UHR_U011_S11_L001"	"100-ng-UHR_U012_S12_L001"	"100-ng-UHR_U013_S13_L001"	"100-ng-UHR_U014_S14_L001"	"100-ng-UHR_U015_S15_L001"	"100ng_A10_S25_L002"	"100ng_A6_S21_L002"	"100ng_A7_S22_L002"	"100ng_A8_S23_L002"	"100ng_A9_S24_L002"	"100ng_U003_S6_L001"	"100ng_U004_S7_L001"	"100ng_U019_S8_L001"	"100ng_U020_S9_L001"	"100ng_U021_S10_L001"	"200ng_A11_S26_L002"	"200ng_A12_S27_L002"	"200ng_B1_S28_L002"	"200ng_B2_S29_L002"	"200ng_B3_S30_L002"	"200ng_U005_S11_L001"	"200ng_U006_S12_L001"	"200ng_U022_S13_L001"	"200ng_U023_S14_L001"	"200ng_U024_S15_L001"	"50-ng-UHR_U006_S6_L001"	"50-ng-UHR_U007_S7_L001"	"50-ng-UHR_U008_S8_L001"	"50-ng-UHR_U009_S9_L001"	"50-ng-UHR_U010_S10_L001"	"500ng_B4_S31_L002"	"500ng_B5_S32_L002"	"500ng_B6_S33_L002"	"500ng_B7_S34_L002"	"500ng_B8_S35_L002"	"50ng_A1_S16_L002"	"50ng_A2_S17_L002"	"50ng_A3_S18_L002"	"50ng_A4_S19_L002"	"50ng_A5_S20_L002"	"50ng_U001_S1_L001"	"50ng_U002_S2_L001"	"50ng_U016_S3_L001"	"50ng_U017_S4_L001"	"50ng_U018_S5_L001"
21	0.985431	0.966803	0.974553	0.984315	0.9725	0.974543	0.984313	0.990336	1.000781	0.989772	1.037121	1.041656	1.036736	1.037272	1.042474	0.979668	0.975784	0.981349	0.962968	0.951858	1.051285	1.04937	1.041188	1.043401	1.05296	0.962767	0.975818	0.971291	0.96488	0.968276	0.970606	0.974551	0.967097	0.969344	0.974388	1.040999	1.041184	1.04412	1.044228	1.039276	1.077739	1.031469	1.035359	1.029965	1.038705	0.971918	0.96893	0.977233	0.973249	0.917824
22	1.002723	0.981002	0.990156	1.001596	0.985268	0.992932	1.004374	1.006693	1.015861	1.001106	1.041376	1.045742	1.041083	1.041195	1.044346	0.997118	0.992123	0.996073	0.975781	0.966207	1.054868	1.049606	1.044336	1.043093	1.0518	0.974176	0.987847	0.982548	0.97731	0.982577	0.987594	0.986951	0.981418	0.981682	0.990411	1.046356	1.042231	1.047282	1.046968	1.043016	1.073012	1.037158	1.040918	1.033649	1.044335	0.989136	0.984303	0.991438	0.990211	0.930486
23	1.027332	1.002668	1.01207	1.023725	1.007546	1.019886	1.030679	1.032672	1.038872	1.024135	1.05688	1.063309	1.058249	1.058687	1.05916	1.019104	1.013249	1.016611	0.994974	0.981329	1.07017	1.063374	1.060901	1.057081	1.065148	0.991847	1.007956	1.002639	0.997628	1.001992	1.014163	1.008257	1.005553	1.006903	1.012324	1.062873	1.058517	1.060897	1.062253	1.060556	1.081738	1.054317	1.058564	1.049683	1.062915	1.009551	1.00271	1.009588	1.01011	0.944119
24	1.041216	1.014971	1.024772	1.033718	1.023769	1.034902	1.044801	1.048582	1.051448	1.036395	1.06185	1.069176	1.065092	1.064046	1.064113	1.041113	1.035696	1.040111	1.016497	0.99985	1.075223	1.070345	1.065689	1.063519	1.069882	1.01099	1.028293	1.022274	1.018088	1.020466	1.028082	1.024594	1.020995	1.024338	1.023469	1.071213	1.064606	1.065426	1.06979	1.065926	1.085488	1.05959	1.064053	1.054137	1.068539	1.030315	1.023479	1.030343	1.033024	0.961081
25	1.049417	1.025661	1.034762	1.041977	1.032943	1.048398	1.054211	1.05847	1.059227	1.048761	1.06195	1.067998	1.064968	1.063925	1.064331	1.047788	1.04226	1.045517	1.023882	1.006979	1.074238	1.06947	1.064779	1.064021	1.069365	1.016338	1.033882	1.02787	1.023624	1.024706	1.036778	1.037927	1.033781	1.036771	1.03374	1.071287	1.064302	1.064818	1.069137	1.066616	1.083617	1.057749	1.062132	1.054128	1.067801	1.037947	1.029618	1.038384	1.04031	0.969451
26	1.062739	1.042614	1.050074	1.055176	1.047578	1.062123	1.067252	1.075379	1.073492	1.065827	1.067008	1.073482	1.070675	1.068959	1.068212	1.055071	1.051469	1.051858	1.033618	1.018752	1.07785	1.073452	1.067588	1.06793	1.071001	1.025237	1.042008	1.038739	1.033164	1.033269	1.052034	1.052845	1.047058	1.048982	1.046744	1.077	1.069364	1.070352	1.074129	1.072235	1.08579	1.062908	1.068394	1.05939	1.073238	1.04671	1.038314	1.044355	1.046632	0.984058
27	1.07455	1.057223	1.067405	1.069123	1.06397	1.072815	1.082178	1.095802	1.095259	1.088351	1.076279	1.082849	1.080214	1.077594	1.077332	1.06026	1.062134	1.057901	1.042095	1.029997	1.084359	1.081652	1.077016	1.077273	1.0808	1.037406	1.051568	1.050284	1.045305	1.048299	1.067531	1.072121	1.06111	1.073077	1.0596	1.087557	1.077791	1.080107	1.084534	1.082958	1.089462	1.070005	1.074922	1.067088	1.079356	1.052694	1.046802	1.051302	1.05116	0.997383
28	1.082471	1.0653	1.076684	1.078907	1.074003	1.081738	1.094115	1.112079	1.111897	1.103272	1.079554	1.086479	1.083294	1.082806	1.083045	1.0767	1.082043	1.073514	1.057739	1.046874	1.086288	1.08511	1.08393	1.084393	1.0864	1.058226	1.070403	1.066608	1.065265	1.069498	1.075889	1.085686	1.07166	1.090306	1.067282	1.091285	1.083114	1.085666	1.090259	1.089306	1.090283	1.074158	1.078876	1.071001	1.079811	1.06634	1.064526	1.07106	1.066423	1.01052
29	1.08668	1.073353	1.084861	1.088034	1.078066	1.084736	1.099067	1.119724	1.1235	1.109033	1.082489	1.090171	1.085969	1.085717	1.085641	1.095808	1.09936	1.092687	1.078753	1.067616	1.089198	1.088675	1.086235	1.086799	1.089274	1.082957	1.091305	1.08942	1.087572	1.09308	1.082752	1.097039	1.076999	1.101767	1.073797	1.093481	1.084939	1.087137	1.093131	1.091283	1.089541	1.075798	1.082203	1.073919	1.082754	1.081954	1.082326	1.089148	1.084269	1.026449
30	1.095465	1.085276	1.089617	1.102502	1.090515	1.093899	1.109749	1.126932	1.132451	1.112837	1.086477	1.09541	1.090589	1.090795	1.091514	1.116187	1.119798	1.114204	1.099333	1.087491	1.093511	1.094095	1.090036	1.093498	1.093293	1.101008	1.110343	1.107224	1.107208	1.114841	1.092908	1.112324	1.08783	1.112358	1.082395	1.098583	1.09007	1.093059	1.099027	1.097478	1.093826	1.08122	1.085186	1.080009	1.086997	1.09807	1.101504	1.109265	1.102461	1.036746
